tag_id,r_id,time,row_id
052*125*568,5,17/04/17 00:43,3825326
036*558*113,1,17/04/17 00:43,3825327
036*558*113,6,17/04/17 00:43,3825328
036*558*113,2,17/04/17 00:43,3825329
034*330*827,5,17/04/17 00:43,3825330
052*125*568,5,17/04/17 00:43,3825331
036*558*113,2,17/04/17 00:43,3825332
052*125*568,5,17/04/17 00:43,3825333
036*558*113,2,17/04/17 00:43,3825334
034*330*827,1,17/04/17 00:43,3825335
034*330*827,1,17/04/17 00:43,3825336
036*558*113,2,17/04/17 00:43,3825337
034*330*827,1,17/04/17 00:43,3825338
034*330*827,1,17/04/17 00:43,3825339
036*558*113,2,17/04/17 00:43,3825340
052*125*568,5,17/04/17 00:43,3825341
034*330*827,5,17/04/17 00:43,3825342
034*330*827,5,17/04/17 00:43,3825343
037*099*377,5,17/04/17 00:44,3825344
052*125*568,5,17/04/17 00:44,3825345
034*330*827,5,17/04/17 00:44,3825346
052*125*568,5,17/04/17 00:44,3825347
037*099*377,5,17/04/17 00:44,3825348
052*125*568,5,17/04/17 00:44,3825349
037*099*377,5,17/04/17 00:44,3825350
036*558*113,2,17/04/17 00:44,3825351
034*330*827,5,17/04/17 00:44,3825352
037*099*377,5,17/04/17 00:44,3825353
037*099*377,5,17/04/17 00:44,3825354
036*558*113,2,17/04/17 00:44,3825355
036*558*113,2,17/04/17 00:44,3825356
037*099*377,5,17/04/17 00:44,3825357
034*330*827,5,17/04/17 00:44,3825358
034*330*827,5,17/04/17 00:44,3825359
036*558*113,2,17/04/17 00:44,3825360
052*125*568,4,17/04/17 00:44,3825361
036*558*113,2,17/04/17 00:44,3825362
037*099*377,5,17/04/17 00:44,3825363
034*330*827,5,17/04/17 00:44,3825364
037*099*377,5,17/04/17 00:44,3825365
034*330*827,5,17/04/17 00:44,3825366
052*125*568,4,17/04/17 00:44,3825367
037*099*377,5,17/04/17 00:44,3825368
052*125*568,4,17/04/17 00:44,3825369
034*330*827,5,17/04/17 00:44,3825370
052*125*568,4,17/04/17 00:45,3825371
034*330*827,5,17/04/17 00:45,3825372
037*099*377,5,17/04/17 00:45,3825373
037*099*377,5,17/04/17 00:45,3825374
034*330*827,5,17/04/17 00:45,3825375
037*099*377,5,17/04/17 00:45,3825376
034*330*827,1,17/04/17 00:45,3825377
034*330*827,1,17/04/17 00:45,3825378
037*099*377,5,17/04/17 00:45,3825379
037*099*377,5,17/04/17 00:45,3825380
037*099*377,5,17/04/17 00:45,3825381
034*330*827,1,17/04/17 00:45,3825382
034*330*827,6,17/04/17 00:46,3825383
034*330*827,2,17/04/17 00:46,3825384
037*099*377,5,17/04/17 00:46,3825385
037*099*377,5,17/04/17 00:46,3825386
037*099*377,5,17/04/17 00:46,3825387
036*558*113,2,17/04/17 00:46,3825388
036*558*113,2,17/04/17 00:46,3825389
036*558*113,2,17/04/17 00:46,3825390
052*125*568,4,17/04/17 00:46,3825391
052*125*568,4,17/04/17 00:46,3825392
037*099*377,5,17/04/17 00:46,3825393
034*330*827,5,17/04/17 00:47,3825394
037*099*377,5,17/04/17 00:47,3825395
840*122*030,1,17/04/17 00:47,3825396
037*099*377,5,17/04/17 00:47,3825397
034*330*827,5,17/04/17 00:47,3825398
037*099*377,5,17/04/17 00:47,3825399
034*330*827,5,17/04/17 00:47,3825400
037*099*377,5,17/04/17 00:47,3825401
034*330*827,5,17/04/17 00:47,3825402
037*099*377,5,17/04/17 00:47,3825403
037*099*377,5,17/04/17 00:47,3825404
840*122*030,6,17/04/17 00:48,3825405
840*122*030,3,17/04/17 00:48,3825406
840*122*030,4,17/04/17 00:48,3825407
840*122*030,4,17/04/17 00:48,3825408
840*122*030,4,17/04/17 00:48,3825409
034*330*827,5,17/04/17 00:48,3825410
037*099*377,5,17/04/17 00:48,3825411
840*122*030,4,17/04/17 00:48,3825412
037*099*377,5,17/04/17 00:48,3825413
037*099*377,5,17/04/17 00:48,3825414
034*330*827,5,17/04/17 00:49,3825415
037*099*377,5,17/04/17 00:49,3825416
036*558*113,2,17/04/17 00:49,3825417
034*330*827,5,17/04/17 00:49,3825418
037*099*377,5,17/04/17 00:49,3825419
034*330*827,3,17/04/17 00:49,3825420
034*330*827,3,17/04/17 00:49,3825421
037*099*377,5,17/04/17 00:49,3825422
037*099*377,5,17/04/17 00:49,3825423
037*099*377,5,17/04/17 00:49,3825424
037*099*377,5,17/04/17 00:49,3825425
037*099*377,5,17/04/17 00:50,3825426
037*099*377,5,17/04/17 00:50,3825427
034*330*827,6,17/04/17 00:50,3825428
034*330*827,2,17/04/17 00:50,3825429
037*099*377,5,17/04/17 00:50,3825430
034*330*827,3,17/04/17 00:50,3825431
034*330*827,3,17/04/17 00:50,3825432
037*099*377,5,17/04/17 00:51,3825433
034*330*827,6,17/04/17 00:51,3825434
037*099*377,5,17/04/17 00:51,3825435
034*330*827,5,17/04/17 00:51,3825436
037*099*377,5,17/04/17 00:51,3825437
037*099*377,5,17/04/17 00:51,3825438
037*099*377,5,17/04/17 00:51,3825439
037*099*377,5,17/04/17 00:51,3825440
037*099*377,5,17/04/17 00:51,3825441
037*099*377,5,17/04/17 00:51,3825442
037*099*377,5,17/04/17 00:51,3825443
037*099*377,5,17/04/17 00:52,3825444
037*099*377,5,17/04/17 00:52,3825445
034*330*827,5,17/04/17 00:52,3825446
037*099*377,5,17/04/17 00:52,3825447
036*558*113,2,17/04/17 00:52,3825448
034*330*827,1,17/04/17 00:52,3825449
037*099*377,5,17/04/17 00:52,3825450
037*099*377,5,17/04/17 00:52,3825451
037*099*377,5,17/04/17 00:52,3825452
037*099*377,5,17/04/17 00:53,3825453
034*330*827,1,17/04/17 00:53,3825454
037*099*377,5,17/04/17 00:53,3825455
034*330*827,5,17/04/17 00:53,3825456
037*099*377,5,17/04/17 00:53,3825457
034*330*827,5,17/04/17 00:53,3825458
034*330*827,5,17/04/17 00:53,3825459
840*119*841,5,17/04/17 00:53,3825460
034*330*827,5,17/04/17 00:53,3825461
840*119*841,5,17/04/17 00:53,3825462
034*330*827,5,17/04/17 00:53,3825463
034*330*827,5,17/04/17 00:53,3825464
037*099*377,5,17/04/17 00:53,3825465
037*099*377,5,17/04/17 00:53,3825466
840*119*841,1,17/04/17 00:53,3825467
034*330*827,1,17/04/17 00:53,3825468
037*099*377,5,17/04/17 00:53,3825469
037*099*377,5,17/04/17 00:53,3825470
034*330*827,5,17/04/17 00:53,3825471
037*099*377,5,17/04/17 00:53,3825472
034*330*827,5,17/04/17 00:54,3825473
036*558*113,2,17/04/17 00:54,3825474
037*099*377,5,17/04/17 00:54,3825475
037*099*377,5,17/04/17 00:54,3825476
037*099*377,5,17/04/17 00:54,3825477
037*099*377,5,17/04/17 00:54,3825478
037*099*377,5,17/04/17 00:54,3825479
037*099*377,5,17/04/17 00:54,3825480
037*099*377,5,17/04/17 00:54,3825481
037*099*377,5,17/04/17 00:55,3825482
037*099*377,5,17/04/17 00:55,3825483
037*099*377,5,17/04/17 00:55,3825484
037*281*578,5,17/04/17 00:55,3825485
037*099*377,5,17/04/17 00:55,3825486
037*281*578,1,17/04/17 00:55,3825487
037*099*377,5,17/04/17 00:55,3825488
037*099*377,5,17/04/17 00:55,3825489
037*099*377,5,17/04/17 00:55,3825490
037*281*578,1,17/04/17 00:56,3825491
037*099*377,5,17/04/17 00:56,3825492
037*281*578,5,17/04/17 00:56,3825493
037*099*377,5,17/04/17 00:56,3825494
